timestamp,true_label,prob_short,prob_long,vol_regime,signal
2024-11-09 20:00:00,1,0.5564661622047424,0.44353383779525757,low,SHORT
2024-11-10 00:00:00,1,0.0787801444530487,0.9212198853492737,low,LONG
2024-11-10 04:00:00,1,0.15695127844810486,0.8430487513542175,low,LONG
2024-11-10 20:00:00,1,0.3926375210285187,0.6073625087738037,low,LONG
2024-11-11 00:00:00,1,0.2793983519077301,0.7206016182899475,low,LONG
2024-11-11 04:00:00,1,0.07256916910409927,0.9274308085441589,low,LONG
2024-11-11 08:00:00,1,0.04316755384206772,0.9568324089050293,low,LONG
2024-11-11 12:00:00,1,0.05197443068027496,0.9480255842208862,low,LONG
2024-11-11 16:00:00,1,0.2525292932987213,0.7474706768989563,low,LONG
2024-11-11 20:00:00,0,0.49875009059906006,0.5012499094009399,mid,NEUTRAL
2024-11-12 04:00:00,0,0.8343517780303955,0.16564814746379852,mid,SHORT
2024-11-12 12:00:00,1,0.5763331651687622,0.4236668050289154,mid,NEUTRAL
2024-11-13 00:00:00,1,0.10602457076311111,0.8939754366874695,mid,LONG
2024-11-13 04:00:00,1,0.14025737345218658,0.8597426414489746,mid,LONG
2024-11-13 08:00:00,1,0.1798553168773651,0.8201447129249573,mid,LONG
2024-11-13 12:00:00,0,0.8372873067855835,0.16271273791790009,mid,SHORT
2024-11-14 04:00:00,0,0.9415995478630066,0.05840038135647774,mid,SHORT
2024-11-14 08:00:00,0,0.961921215057373,0.038078758865594864,mid,SHORT
2024-11-14 16:00:00,0,0.7108814120292664,0.2891186475753784,mid,SHORT
2024-11-14 20:00:00,1,0.47947564721107483,0.5205243229866028,high,NEUTRAL
2024-11-15 04:00:00,1,0.0944671779870987,0.9055328369140625,mid,LONG
2024-11-15 12:00:00,1,0.16048231720924377,0.8395177125930786,mid,LONG
2024-11-17 20:00:00,1,0.52076655626297,0.47923338413238525,low,NEUTRAL
2024-11-20 00:00:00,1,0.5521838068962097,0.4478161931037903,low,SHORT
2024-11-20 16:00:00,1,0.4901949465274811,0.5098050236701965,low,NEUTRAL
2024-11-20 20:00:00,1,0.6264969706535339,0.3735029697418213,low,SHORT
2024-11-21 00:00:00,1,0.49260222911834717,0.5073977708816528,low,NEUTRAL
2024-11-24 20:00:00,0,0.5518743395805359,0.4481256306171417,low,SHORT
2024-11-25 00:00:00,0,0.9500973224639893,0.04990271106362343,low,SHORT
2024-11-25 04:00:00,0,0.9518008232116699,0.04819920286536217,low,SHORT
2024-11-25 08:00:00,0,0.9678758382797241,0.0321241058409214,low,SHORT
2024-11-25 12:00:00,0,0.9172031283378601,0.08279678970575333,low,SHORT
