timestamp,true_label,prob_short,prob_long,vol_regime,signal
2024-11-09 16:00:00,1,0.15790675580501556,0.842093288898468,low,LONG
2024-11-09 20:00:00,1,0.41646191477775574,0.5835381150245667,low,LONG
2024-11-10 00:00:00,1,0.12988024950027466,0.8701197504997253,low,LONG
2024-11-10 04:00:00,1,0.1804257482290268,0.819574236869812,low,LONG
2024-11-10 20:00:00,1,0.20144116878509521,0.7985588312149048,low,LONG
2024-11-11 00:00:00,1,0.1634901911020279,0.8365097641944885,low,LONG
2024-11-11 04:00:00,1,0.038667913526296616,0.9613320827484131,low,LONG
2024-11-11 08:00:00,1,0.025602098554372787,0.9743978977203369,low,LONG
2024-11-11 12:00:00,1,0.026031628251075745,0.9739683270454407,low,LONG
2024-11-11 16:00:00,1,0.13574117422103882,0.8642587661743164,low,LONG
2024-11-11 20:00:00,0,0.35889583826065063,0.6411041617393494,mid,LONG
2024-11-12 04:00:00,0,0.6953644156455994,0.30463555455207825,mid,SHORT
2024-11-12 12:00:00,1,0.5069677829742432,0.4930322468280792,mid,NEUTRAL
2024-11-13 00:00:00,1,0.1558547019958496,0.8441452980041504,mid,LONG
2024-11-13 04:00:00,1,0.08914036303758621,0.9108595848083496,mid,LONG
2024-11-13 08:00:00,1,0.09219008684158325,0.907809853553772,mid,LONG
2024-11-13 12:00:00,0,0.6592540740966797,0.3407459259033203,mid,SHORT
2024-11-14 04:00:00,0,0.8780030608177185,0.12199694663286209,mid,SHORT
2024-11-14 08:00:00,0,0.9155981540679932,0.08440180122852325,mid,SHORT
2024-11-14 16:00:00,0,0.8311441540718079,0.16885584592819214,mid,SHORT
2024-11-14 20:00:00,1,0.5146967172622681,0.4853033423423767,high,NEUTRAL
2024-11-15 04:00:00,1,0.09166498482227325,0.9083349704742432,mid,LONG
2024-11-15 12:00:00,1,0.15261781215667725,0.8473821878433228,mid,LONG
2024-11-17 20:00:00,1,0.5122106671333313,0.4877893328666687,low,NEUTRAL
2024-11-20 00:00:00,1,0.5076813697814941,0.49231860041618347,low,NEUTRAL
2024-11-20 16:00:00,1,0.35826408863067627,0.6417359709739685,low,LONG
2024-11-20 20:00:00,1,0.4550727307796478,0.5449272394180298,low,NEUTRAL
2024-11-21 00:00:00,1,0.3425295054912567,0.6574704647064209,low,LONG
2024-11-24 20:00:00,0,0.5964768528938293,0.40352311730384827,low,SHORT
2024-11-25 00:00:00,0,0.8242452144622803,0.17575480043888092,low,SHORT
2024-11-25 04:00:00,0,0.9065795540809631,0.0934203714132309,low,SHORT
2024-11-25 08:00:00,0,0.9226896166801453,0.07731030881404877,low,SHORT
2024-11-25 12:00:00,0,0.8430920839309692,0.15690787136554718,low,SHORT
2024-11-25 16:00:00,0,0.8546690344810486,0.1453309953212738,low,SHORT
2024-11-26 00:00:00,0,0.6531590223312378,0.3468410074710846,low,SHORT
2024-11-26 04:00:00,0,0.5406243205070496,0.45937564969062805,low,NEUTRAL
2024-11-26 20:00:00,1,0.48604390025138855,0.5139561295509338,mid,NEUTRAL
2024-11-27 00:00:00,1,0.04820708557963371,0.9517929553985596,low,LONG
2024-11-27 04:00:00,1,0.032937534153461456,0.9670624136924744,low,LONG
2024-11-27 08:00:00,1,0.03896956145763397,0.9610304236412048,low,LONG
2024-11-28 20:00:00,1,0.4227325916290283,0.5772674679756165,low,LONG
2024-11-29 04:00:00,1,0.0352511964738369,0.9647488594055176,low,LONG
2024-12-04 12:00:00,1,0.033612724393606186,0.9663872718811035,low,LONG
2024-12-04 16:00:00,1,0.10179656744003296,0.8982033729553223,low,LONG
2024-12-04 20:00:00,1,0.29826363921165466,0.7017363905906677,low,LONG
2024-12-05 00:00:00,0,0.5870149731636047,0.41298505663871765,low,SHORT
2024-12-05 04:00:00,0,0.5330219864845276,0.4669780433177948,low,NEUTRAL
2024-12-05 08:00:00,0,0.5620260238647461,0.4379739761352539,low,SHORT
2024-12-05 12:00:00,0,0.5991570353507996,0.4008430242538452,low,SHORT
2024-12-05 16:00:00,0,0.5559796094894409,0.4440203607082367,mid,NEUTRAL
2024-12-06 00:00:00,1,0.11745956540107727,0.8825404644012451,mid,LONG
2024-12-06 04:00:00,1,0.061278194189071655,0.9387218356132507,mid,LONG
2024-12-06 08:00:00,1,0.04181097447872162,0.958189070224762,mid,LONG
2024-12-08 20:00:00,0,0.44582247734069824,0.5541775822639465,low,LONG
2024-12-09 04:00:00,0,0.8780320882797241,0.1219678521156311,low,SHORT
2024-12-09 12:00:00,0,0.7317320108413696,0.26826801896095276,low,SHORT
2024-12-09 16:00:00,0,0.5492274761199951,0.4507724940776825,low,NEUTRAL
2024-12-10 04:00:00,0,0.47021785378456116,0.5297821164131165,mid,NEUTRAL
2024-12-10 08:00:00,0,0.7341523170471191,0.26584768295288086,low,SHORT
2024-12-10 20:00:00,1,0.6046642661094666,0.39533570408821106,mid,SHORT
2024-12-11 00:00:00,1,0.13960251212120056,0.8603975176811218,mid,LONG
